,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
790,449819764,wubbanub infant pacifier - tiger,4.0,0.0,0.0,0.0,0.0,"Great quality, minor design issue","Wubbanubs are a great way to keep track of soothies and even my newborn can grip into the little tiger paws to keep it held right. The biggest down side to this particular wubbanub is that the tiger's paws brush the baby's cheek when they're sucking on the soothie, which often triggers the rooting reflex. That means the baby stops sucking on the soothie in hopes of something better, which with a young baby means you'll be helping the soothie back into baby's mouth.<br /><br />The quality of the item is top notch, we've purchased many wubbanubs for my kids and they're all quality, but I think the design could be improved just by changing the angle of the front paws a bit.",2015-07-27,"Great quality, minor design issue Wubbanubs are a great way to keep track of soothies and even my newborn can grip into the little tiger paws to keep it held right. The biggest down side to this particular wubbanub is that the tiger's paws brush the baby's cheek when they're sucking on the soothie, which often triggers the rooting reflex. That means the baby stops sucking on the soothie in hopes of something better, which with a young baby means you'll be helping the soothie back into baby's mouth.<br /><br />The quality of the item is top notch, we've purchased many wubbanubs for my kids and they're all quality, but I think the design could be improved just by changing the angle of the front paws a bit.",128,neu,3.5432208994708994,0.0,0.0,0.0
812,528212913,"baby brezza baby bottle sterilizer and dryer machine – electric steam sterilization - universal fit - pacifiers, glass, plastic, and newborn feeding bottles",4.0,1.0,2.0,0.0,0.0,It is really easy to use and looks nice on our kitchen counter,"We received this as a gift from our baby registry.<br />Pros: you can choose time settings- 30, 45 or 60 minutes. I use the 30 minutes because the bottles are usually dry in about 10. The sterilizing takes about 8 minutes. It is really easy to use and looks nice on our kitchen counter. It fits 6 bottles and parts at one time.<br />A major problem is that it leaks...ALOT. After we turn it on, our kitchen counter always has a large puddle of water leaking from the sterilizer. We have tried putting less water and making sure we don't go above the max fill line however it still leaks. It is annoying because it leaves water makes all over our countertop. Leaking aside, we tried the advent sterilizer which doesnt dry the bottles  and decided to keep the brezza because the drying option is so convenient and makes it easy to just take the bottles out and not have to dry them separately.",2015-07-25,"It is really easy to use and looks nice on our kitchen counter We received this as a gift from our baby registry.<br />Pros: you can choose time settings- 30, 45 or 60 minutes. I use the 30 minutes because the bottles are usually dry in about 10. The sterilizing takes about 8 minutes. It is really easy to use and looks nice on our kitchen counter. It fits 6 bottles and parts at one time.<br />A major problem is that it leaks...ALOT. After we turn it on, our kitchen counter always has a large puddle of water leaking from the sterilizer. We have tried putting less water and making sure we don't go above the max fill line however it still leaks. It is annoying because it leaves water makes all over our countertop. Leaking aside, we tried the advent sterilizer which doesnt dry the bottles  and decided to keep the brezza because the drying option is so convenient and makes it easy to just take the bottles out and not have to dry them separately.",177,neu,3.301445578231293,0.5,0.00023969319271332693,0.0008666398486938368
848,392768822,wubbanub infant pacifier - giraffe,3.0,37.0,47.0,0.0,0.0,READ THE OTHER REVIEWS! I ordered 3 Wubbanub's (my ...,None available.,2015-07-23,READ THE OTHER REVIEWS! I ordered 3 Wubbanub's (my ... None available.,12,neu,3.24375,0.7872340425531915,0.013963403439342324,0.043505834145296185
853,52203997,wubbanub pink bear infant pacifier,4.0,1.0,1.0,0.0,0.0,Dont know how I lived w/o it with my first child!,"Absolutely awesome plush soft permanebtly attached pacifier. As you can see in my attached picture, you can wrap their little arms and hands around the bear to hold toghtly in place. Stays in the cuddly caress of her embrace as she falls to sleep quietly suckling her &#34;bobo&#34;. Great invention! Just clean with soap and water. Thought it would be weird thats its permanently attached; but no, it works-perfectly!",2015-07-22,"Dont know how I lived w/o it with my first child! Absolutely awesome plush soft permanebtly attached pacifier. As you can see in my attached picture, you can wrap their little arms and hands around the bear to hold toghtly in place. Stays in the cuddly caress of her embrace as she falls to sleep quietly suckling her &#34;bobo&#34;. Great invention! Just clean with soap and water. Thought it would be weird thats its permanently attached; but no, it works-perfectly!",80,neu,3.4916666666666667,1.0,0.00047938638542665386,0.0017521532503685085
865,717616351,ecopiggy rounded natural pacifier (1pk),4.0,1.0,1.0,0.0,0.0,Lily likes her pacifier,My daughter in law is nursing and says this pacifier is most like &#34;mom&#34;. So my grand daughter is willing to use it.,2015-07-22,Lily likes her pacifier My daughter in law is nursing and says this pacifier is most like &#34;mom&#34;. So my grand daughter is willing to use it.,27,neu,3.8333333333333335,1.0,0.00047938638542665386,0.0018422412526427243
888,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",5.0,0.0,0.0,0.0,0.0,Five Stars,good,2015-07-21,Five Stars good,3,pos,4.4,0.0,0.0,0.0
894,892018890,"mam night orthodontic pacifier, boy, 0-6 plus months, 2-count",4.0,0.0,0.0,0.0,0.0,They really do glow in the dark!,Great for finding the paci while you are sleep walking into your son's room. They really do glow in the dark!,2015-07-21,They really do glow in the dark! Great for finding the paci while you are sleep walking into your son's room. They really do glow in the dark!,28,neu,3.33,0.0,0.0,0.0
913,380619977,wubbanub tabby kitten pacifier,4.0,0.0,0.0,0.0,0.0,Great invention!!,"Love, love, love this product a must have for paci lovers. This is the second one I have purchased, the first one we purchased was the pink elephant. It was helpful because our newborn kept spitting her paci out and then would get mad, we have found that with this product she has an easier time getting it back in her mouth and keeping it there. She also loves to grab a hold of them. It is nice be cause she was already used to this type of paci, since this is the one they give you in the hospital. Also you don't loose them as easily as a regular paci plus they are just so cute!  I definitely would get these as a shower gift, it is one of those things no one would think to get even though it's handy to have.",2015-07-20,"Great invention!! Love, love, love this product a must have for paci lovers. This is the second one I have purchased, the first one we purchased was the pink elephant. It was helpful because our newborn kept spitting her paci out and then would get mad, we have found that with this product she has an easier time getting it back in her mouth and keeping it there. She also loves to grab a hold of them. It is nice be cause she was already used to this type of paci, since this is the one they give you in the hospital. Also you don't loose them as easily as a regular paci plus they are just so cute!  I definitely would get these as a shower gift, it is one of those things no one would think to get even though it's handy to have.",146,neu,3.503076923076923,0.0,0.0,0.0
946,540487761,"2 pack natursutten bpa free natural rubber pacifier, butterfly shield, rounded nipple",5.0,0.0,0.0,0.0,0.0,Great pacifier,My baby loves this thing! great product without the plastic,2015-07-18,Great pacifier My baby loves this thing! great product without the plastic,12,pos,4.8,0.0,0.0,0.0
975,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",4.0,0.0,0.0,0.0,0.0,Amazing,These are amazing! My baby loves this brand the style everything! They're easy to clean and find because of their colors! Highly reccommend!,2015-07-16,Amazing These are amazing! My baby loves this brand the style everything! They're easy to clean and find because of their colors! Highly reccommend!,24,pos,4.051666666666667,0.0,0.0,0.0
998,667171015,fctry - baby pacifiers,3.0,0.0,0.0,0.0,0.0,"Cute gift, but not as pictured","Cute gift, but unfortunately the item sent was different than the description and what is pictured. Ordered the brown Ladies Man (twice) and received The Gentleman in black (twice).",2015-07-15,"Cute gift, but not as pictured Cute gift, but unfortunately the item sent was different than the description and what is pictured. Ordered the brown Ladies Man (twice) and received The Gentleman in black (twice).",35,neu,3.1333333333333333,0.0,0.0,0.0
1036,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",4.0,0.0,0.0,0.0,0.0,Love it,This is my go to pacifier.  I have had 4 kids and tried many different pacifiers but this one has always proven true to being a great product.  It lasts unless you have a cheer (my last daughter is a chewer.) I bought these in stock because she would teeth so hard through them.  But it is a great product none of my children took any other kind of pacifier as great as they did this one.,2015-07-12,Love it This is my go to pacifier.  I have had 4 kids and tried many different pacifiers but this one has always proven true to being a great product.  It lasts unless you have a cheer (my last daughter is a chewer.) I bought these in stock because she would teeth so hard through them.  But it is a great product none of my children took any other kind of pacifier as great as they did this one.,79,neu,3.7151515151515153,0.0,0.0,0.0
1044,504109012,"mam love & affection orthodontic pacifier, i love daddy, girl, 0-6 months, 2-count",4.0,0.0,0.0,0.0,0.0,Best pacifier that stays in my baby's mouth,"I love this pacifier! My baby was using the soothie pacifiers, including the wubbanub (with a plush doll at the end), but this stays much better in her mouth. It still falls out of her mouth when she falls asleep, but a lot less frequently than the soothies.",2015-07-12,"Best pacifier that stays in my baby's mouth I love this pacifier! My baby was using the soothie pacifiers, including the wubbanub (with a plush doll at the end), but this stays much better in her mouth. It still falls out of her mouth when she falls asleep, but a lot less frequently than the soothies.",56,neu,3.8233333333333333,0.0,0.0,0.0
1107,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",4.0,0.0,0.0,0.0,0.0,This is a great price on these soothies,"This is a great price on these soothies. My son has loved them since he was quite little. He's nearly done with them as he gets closer to age 2, but at nighttime they're still a hit! They work well with any pacifier clip too, which is great for daycare. Easy to clean and durable. He prefers these to any others including fancier and more expensive ones.",2015-07-08,"This is a great price on these soothies This is a great price on these soothies. My son has loved them since he was quite little. He's nearly done with them as he gets closer to age 2, but at nighttime they're still a hit! They work well with any pacifier clip too, which is great for daycare. Easy to clean and durable. He prefers these to any others including fancier and more expensive ones.",75,neu,3.7675,0.0,0.0,0.0
1112,389043588,ecosusi 5-piece set includes diaper bag + changing pat + transparent wet bag + pvc bag + pacifier bag,4.0,0.0,0.0,0.0,0.0,"Includes Changing Pad, Bottle & Pacifier Holders & PVC bag for Messy Clothes, Stroller straps & Swivel hook for keys","This is a very nice diaper bag. It doesn't have much padding, but is lightweight. There are  lots of pockets to help you organize your baby's stuff. Two of the inside pockets are large enough to hold diapers and/or wipes. This bag features a swivel hook for keys.<br />The bag can be used as a shoulder bag. It also has straps that are designed to attach to a stroller. I love that feature.<br /><br />I haven't had to test this, but the bag is advertised to be waterproof, made with waterproof 600D microfiber. Of course, it is water resistant too & easy to clean.<br /><br />I really like this bag. It's neatly stitched, is lightweight, waterproof, has several inside & outside pockets, comes with several accessories: changing pad, bottle & pacifier cases, PVC bag for messy clothes, a hanging swivel hook for your keys, & stroller straps.<br /><br />The shoulder strap is not padded, but the carrying handles are. The main zippers, all the straps & handles are dark brown.<br /><br />My daughter, who will be using the bag, loves the Black Bird design.<br />I think it would make a nice crochet tote too.  Review sample provided.<br /><br />5 stars",2015-07-08,"Includes Changing Pad, Bottle & Pacifier Holders & PVC bag for Messy Clothes, Stroller straps & Swivel hook for keys This is a very nice diaper bag. It doesn't have much padding, but is lightweight. There are  lots of pockets to help you organize your baby's stuff. Two of the inside pockets are large enough to hold diapers and/or wipes. This bag features a swivel hook for keys.<br />The bag can be used as a shoulder bag. It also has straps that are designed to attach to a stroller. I love that feature.<br /><br />I haven't had to test this, but the bag is advertised to be waterproof, made with waterproof 600D microfiber. Of course, it is water resistant too & easy to clean.<br /><br />I really like this bag. It's neatly stitched, is lightweight, waterproof, has several inside & outside pockets, comes with several accessories: changing pad, bottle & pacifier cases, PVC bag for messy clothes, a hanging swivel hook for your keys, & stroller straps.<br /><br />The shoulder strap is not padded, but the carrying handles are. The main zippers, all the straps & handles are dark brown.<br /><br />My daughter, who will be using the bag, loves the Black Bird design.<br />I think it would make a nice crochet tote too.  Review sample provided.<br /><br />5 stars",220,neu,3.297202380952381,0.0,0.0,0.0
1116,658108028,"mam glow in the dark night orthodontic pacifier, girl, 6+ months, 2-count",4.0,0.0,0.0,0.0,0.0,Must have!,Glow in the dark pacifiers are the best invention since sliced bread!  These are a must have for your little one!,2015-07-08,Must have! Glow in the dark pacifiers are the best invention since sliced bread!  These are a must have for your little one!,23,neu,3.4104166666666664,0.0,0.0,0.0
1135,528212913,"baby brezza baby bottle sterilizer and dryer machine – electric steam sterilization - universal fit - pacifiers, glass, plastic, and newborn feeding bottles",4.0,0.0,0.0,0.0,0.0,Easy and Safe Steriliation...,"I am so happy Baby Brezza made this sterilizer! After we made the decision to sterilize, I wanted to get something that did not use the microwave.<br /><br />Yes, the microwave sterilizers are 1/3 of the cost of this, but I didnt feel safe using the microwave everyday on the bottles.<br /><br />This system has a drying rack that is portable. We use the bottom right option (under the power button) that is the sterilize/dry feature. It takes 60 minutes to run full cycle. We load up 5 phillips advent bottles and 5 nipples in one run.<br /><br />Just make sure to add a little bit of water after ech use. Lift the removable drying tray, and pour water into the circular base. If you pour too much water, it can prevent the machine from working properly. It is the same as if not enough water.",2015-07-07,"Easy and Safe Steriliation... I am so happy Baby Brezza made this sterilizer! After we made the decision to sterilize, I wanted to get something that did not use the microwave.<br /><br />Yes, the microwave sterilizers are 1/3 of the cost of this, but I didnt feel safe using the microwave everyday on the bottles.<br /><br />This system has a drying rack that is portable. We use the bottom right option (under the power button) that is the sterilize/dry feature. It takes 60 minutes to run full cycle. We load up 5 phillips advent bottles and 5 nipples in one run.<br /><br />Just make sure to add a little bit of water after ech use. Lift the removable drying tray, and pour water into the circular base. If you pour too much water, it can prevent the machine from working properly. It is the same as if not enough water.",150,neu,3.3687925170068027,0.0,0.0,0.0
