,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_headline_body,words,sentiment,sentiment_val,helpful_rate,c,r
213,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),4.0,2.0,4.0,0.0,0.0,Hands down...BEST hair dryer I've ever used.,"A hair dryer is not something I generally replace until I need it.  Mine is still working,  but I had been saying for a while that I needed a new one.  I've always just looked at it as something that blows air and that they are all pretty much the same.  After using this one a few times,  I will never say that again.  This hair dryer is awesome.  I had already switched my curling irons to ionic ceramic and could tell a big difference,  but I didn't realize that it would also make a difference in a hair dryer.  Not only does it dry my hair faster,  but it leaves it looking much more healthy.  I have very long hair and even though I take good care of it,  I had noticed that it was looking dull and dry.  The first time I used this dryer,  I could tell a difference.  I don't know all the &#34;how&#34; or &#34;why&#34; reasons,  but I do know that my hair didn't look or feel like all the moisture had been stripped from it.  I had even started to air dry my hair because I could see what was happening to it,  but that takes a long time with thick , long hair.  I will still air dry when I have the time,  but now I feel like I can dry my hair quickly (and this dryer does it VERY quick),  and not be damaging it.  I don't use the high heat on this one because it's very hot and my fine hair wouldn't like that,  but I like knowing that the option is there if needed.  The air flow with this is massive.....really powerful... When on high,  I can dry my hair in a few minutes,  but that's only when I'm just drying it to put in a ponytail.  Medium is more than enough airflow to dry and style it, and I love the cool setting.  When I used a round brush to curl,  I finished with the cool setting and it made all the difference.  It's not a small dryer,  but it's not at all heavy ,  especially considering the power that it contains.<br />  They include a little card explaining that their products are made by women.  I find that reassuring, since most men that I know don't really use one,  therefore,  how could they know what we need.  They also donate a portion of their profits to charities that benefit women.  Between that and the fact that you get such a high end, quality made product  for such a reasonable price,  I  am totally sold on this company.  You can tell that they care about their products.  I highly recommend it.  I can't imagine anyone not loving it.<br />I did receive this product free for the purpose of testing and reviewing with my honest opinion,  and I couldn't be happier to tell you how wonderful this dryer is.efore,  how could they know what we need.  They also donate a portion of their profits to charities that benefit women.  Between that and the fact that you get such a high end, quality made product  for such a reasonable price,  I  am totally sold on this company.  You can tell that they care about their products.  I highly recommend it.  I can't imagine anyone not loving it. I did receive this product free for the purpose of testing and reviewing with my honest opinion,  and I couldn't be happier to tell you how wonderful this dryer is.",2015-08-13,"Hands down...BEST hair dryer I've ever used. A hair dryer is not something I generally replace until I need it.  Mine is still working,  but I had been saying for a while that I needed a new one.  I've always just looked at it as something that blows air and that they are all pretty much the same.  After using this one a few times,  I will never say that again.  This hair dryer is awesome.  I had already switched my curling irons to ionic ceramic and could tell a big difference,  but I didn't realize that it would also make a difference in a hair dryer.  Not only does it dry my hair faster,  but it leaves it looking much more healthy.  I have very long hair and even though I take good care of it,  I had noticed that it was looking dull and dry.  The first time I used this dryer,  I could tell a difference.  I don't know all the &#34;how&#34; or &#34;why&#34; reasons,  but I do know that my hair didn't look or feel like all the moisture had been stripped from it.  I had even started to air dry my hair because I could see what was happening to it,  but that takes a long time with thick , long hair.  I will still air dry when I have the time,  but now I feel like I can dry my hair quickly (and this dryer does it VERY quick),  and not be damaging it.  I don't use the high heat on this one because it's very hot and my fine hair wouldn't like that,  but I like knowing that the option is there if needed.  The air flow with this is massive.....really powerful... When on high,  I can dry my hair in a few minutes,  but that's only when I'm just drying it to put in a ponytail.  Medium is more than enough airflow to dry and style it, and I love the cool setting.  When I used a round brush to curl,  I finished with the cool setting and it made all the difference.  It's not a small dryer,  but it's not at all heavy ,  especially considering the power that it contains.<br />  They include a little card explaining that their products are made by women.  I find that reassuring, since most men that I know don't really use one,  therefore,  how could they know what we need.  They also donate a portion of their profits to charities that benefit women.  Between that and the fact that you get such a high end, quality made product  for such a reasonable price,  I  am totally sold on this company.  You can tell that they care about their products.  I highly recommend it.  I can't imagine anyone not loving it.<br />I did receive this product free for the purpose of testing and reviewing with my honest opinion,  and I couldn't be happier to tell you how wonderful this dryer is.efore,  how could they know what we need.  They also donate a portion of their profits to charities that benefit women.  Between that and the fact that you get such a high end, quality made product  for such a reasonable price,  I  am totally sold on this company.  You can tell that they care about their products.  I highly recommend it.  I can't imagine anyone not loving it. I did receive this product free for the purpose of testing and reviewing with my honest opinion,  and I couldn't be happier to tell you how wonderful this dryer is.",593,neu,3.3172382920110195,0.5,0.0001295001295001295,0.0004955881451022961
248,758099411,conair 1875 watt tourmaline ceramic hair dryer,4.0,0.0,0.0,0.0,0.0,doesn't break easily,"It has a good quality, I remember my daughter always on a hurry and sometimes drops this dryer on the floor and its still on one piece, that is so great, it didn't break easily",2015-08-11,"doesn't break easily It has a good quality, I remember my daughter always on a hurry and sometimes drops this dryer on the floor and its still on one piece, that is so great, it didn't break easily",38,pos,4.183333333333334,0.0,0.0,0.0
349,619941271,bed head curls in check 1875 watt diffuser hair dryer,4.0,0.0,0.0,0.0,0.0,Super Rad!,Best blow dryer ever for my wild curls. I used to have to live the house with wet hair and hope for the best - not anymore! The speed and heat settings make it super easy to tame the frizz.,2015-08-03,Super Rad! Best blow dryer ever for my wild curls. I used to have to live the house with wet hair and hope for the best - not anymore! The speed and heat settings make it super easy to tame the frizz.,42,neu,3.6895622895622893,0.0,0.0,0.0
350,392681682,revlon 1875w compact travel hair dryer,3.0,2.0,2.0,0.0,0.0,"OK, for less than 6 months","I bought this at a local store and it was fine for a while (other than the fact that the off/low/high switch was difficult to move), but then one day turned it on and I noticed it didn't sound as loud and found that it wasn't heating up at all and there was just a bit of cool air blowing out.  This was less than six months after purchasing.",2015-08-03,"OK, for less than 6 months I bought this at a local store and it was fine for a while (other than the fact that the off/low/high switch was difficult to move), but then one day turned it on and I noticed it didn't sound as loud and found that it wasn't heating up at all and there was just a bit of cool air blowing out.  This was less than six months after purchasing.",75,neu,3.1616666666666666,1.0,0.000259000259000259,0.0008030350644619906
354,258419037,"john frieda(r) jf1r 1,875-watt hair dryer",4.0,0.0,1.0,0.0,0.0,Awesome tool for year-round use!,"I rarely use a hair dryer to dry my hair but lately, I am tired of waiting for it to air dry.  When that happens, I use my handy dandy John Frieda Full Volume Hairy Dryer.  When I was offered the opportunity to try this product, I quickly accepted.  I received a sample product to review in exchange for my honest opinion.  I actually received this product almost 2 years ago.  I use it when I want my hair dried quickly.<br /><br />The John Frieda Full Volume Dryer features frizz-fighting technology, 3 heat and two speed settings. I can add volume and shine to my hair with just a few minutes of use.<br /><br />My hair takes just a few minutes to dry. The hair dryer is very lightweight in my hands, so it doesn’t take a lot to blow dry my hair.  I use the cool setting most of the time since I don't like to use heat on my hair.  The cool setting comes in handy in the summer time.  Who wants to blow hot air on their hair in the dead of summer?<br /><br />The John Frieda Full Volume Dryer comes with 3 attachments, but I choose to use the dryer without any attachments. I just want to dry my hair, so I don’t bother with the attachments.  I received a sample product to review in exchange for my honest opinion.",2015-08-03,"Awesome tool for year-round use! I rarely use a hair dryer to dry my hair but lately, I am tired of waiting for it to air dry.  When that happens, I use my handy dandy John Frieda Full Volume Hairy Dryer.  When I was offered the opportunity to try this product, I quickly accepted.  I received a sample product to review in exchange for my honest opinion.  I actually received this product almost 2 years ago.  I use it when I want my hair dried quickly.<br /><br />The John Frieda Full Volume Dryer features frizz-fighting technology, 3 heat and two speed settings. I can add volume and shine to my hair with just a few minutes of use.<br /><br />My hair takes just a few minutes to dry. The hair dryer is very lightweight in my hands, so it doesn’t take a lot to blow dry my hair.  I use the cool setting most of the time since I don't like to use heat on my hair.  The cool setting comes in handy in the summer time.  Who wants to blow hot air on their hair in the dead of summer?<br /><br />The John Frieda Full Volume Dryer comes with 3 attachments, but I choose to use the dryer without any attachments. I just want to dry my hair, so I don’t bother with the attachments.  I received a sample product to review in exchange for my honest opinion.",239,neu,3.4,0.0,0.0,0.0
358,983445543,oster tourmaline wall mount hair dryer 76932-710,4.0,2.0,2.0,0.0,0.0,But I have loved it since I bought it and I use it ...,"I've had my wall mounted Oster for over 20 years.  It is starting to smell so I am now looking for a new one.  I only had to clean it once.  Mine only has 1200  watts, but I have always had short hair so that may have made a difference for the long length of time I've owned it.  But I have loved it since I bought it and I use it every day since I wash my hair  when I shower every morning before leaving for work.",2015-08-03,"But I have loved it since I bought it and I use it ... I've had my wall mounted Oster for over 20 years.  It is starting to smell so I am now looking for a new one.  I only had to clean it once.  Mine only has 1200  watts, but I have always had short hair so that may have made a difference for the long length of time I've owned it.  But I have loved it since I bought it and I use it every day since I wash my hair  when I shower every morning before leaving for work.",102,neu,3.4117845117845116,1.0,0.000259000259000259,0.0009303679844352661
360,768062995,panasonic eh-na65-k hair dryer,3.0,1.0,1.0,0.0,0.0,"Hair feels smoother and moisturized, but dries no faster and the dryer is heavy",The drying speed is actually no faster than my $20 1350W hair dryer. The &#34;quick dry&#34; head dries even slower than the &#34;precise dry&#34; head. And in my opinion the dryer is HEAVY. But my hair does feel much smoother than before. It does its job to retain the moisture of my hair.,2015-08-02,"Hair feels smoother and moisturized, but dries no faster and the dryer is heavy The drying speed is actually no faster than my $20 1350W hair dryer. The &#34;quick dry&#34; head dries even slower than the &#34;precise dry&#34; head. And in my opinion the dryer is HEAVY. But my hair does feel much smoother than before. It does its job to retain the moisture of my hair.",67,neu,2.9,1.0,0.0001295001295001295,0.0003771623982728257
391,258419037,"john frieda(r) jf1r 1,875-watt hair dryer",4.0,4.0,4.0,0.0,0.0,Choosing the perfect hair dryer (A saga),"I am 58 years old and have mid-length, medium texture, slightly wavy hair.<br />For the past 15 years I have been using the same Conair hairdryer (it just will not die) an average of 2-3x a week and over that time have had my share of good hair days and bad.<br />Recently, I've noticed that my hair has been getting very dry - even in the summer which is very unusual.<br />So, after trying various shampoos with not much difference, I decided to Google 'dry hair' and low and behold, hair dryers popped up! I don't think I would have come up with that on my own, so of course I then started researching hair dryers. There are about as many 'Top Ten Hair Dryer' lists as I think there are hair dryers! While there are a couple of (pricey) brands that tend to show up on most of those lists, I finally decided to look at it a different way ie: what 'technologies' exist and what would work best with my hair. I like a lot of volume and smoothness, so ionic, ceramic, tourmaline with infra red seemed to fit the bill - which is everything this dryer has. I read pretty much all of the reviews, watched the YouTube videos and even tho' people complained about the weight and button positions, I decided to give it a try. Well, I have to say that I am literally blown away! First, I understand why people complain about the button position as the first time I used it, I also kept changing speed and heat settings. However, it took me no time at all to figure out how to hold it so that doesn't happen. The heat levels are nice and consistent and the Cool Shot button works great - doesn't 'lock' but I don't care as I just shoot the roots before I finish each section so works fine for me. Regarding the weight, that was the only thing that I was a bit concerned about at first, since my old dryer was super light.  Now, after using it for the second time, I didn't even notice the weight, only the incredibly awesome results it produces! I actually feel like I have new hair as it is no longer dry and frizzy but instead is super smooth, soft and bouncy. I still can't believe changing hair dryers could make such a difference. I actually look forward to doing my hair now! My recommendation is, do your research, but if you have hair similar to mine, give this fantastic dryer a try - I don't think you'll be disappointed!frizzy but instead is super smooth, soft and bouncy. I still can't believe changing hair dryers could make such a difference. I actually look forward to doing my hair now! My recommendation is, do your research, but if you have hair similar to mine, give this fantastic dryer a try - I don't think you'll be disappointed!",2015-07-30,"Choosing the perfect hair dryer (A saga) I am 58 years old and have mid-length, medium texture, slightly wavy hair.<br />For the past 15 years I have been using the same Conair hairdryer (it just will not die) an average of 2-3x a week and over that time have had my share of good hair days and bad.<br />Recently, I've noticed that my hair has been getting very dry - even in the summer which is very unusual.<br />So, after trying various shampoos with not much difference, I decided to Google 'dry hair' and low and behold, hair dryers popped up! I don't think I would have come up with that on my own, so of course I then started researching hair dryers. There are about as many 'Top Ten Hair Dryer' lists as I think there are hair dryers! While there are a couple of (pricey) brands that tend to show up on most of those lists, I finally decided to look at it a different way ie: what 'technologies' exist and what would work best with my hair. I like a lot of volume and smoothness, so ionic, ceramic, tourmaline with infra red seemed to fit the bill - which is everything this dryer has. I read pretty much all of the reviews, watched the YouTube videos and even tho' people complained about the weight and button positions, I decided to give it a try. Well, I have to say that I am literally blown away! First, I understand why people complain about the button position as the first time I used it, I also kept changing speed and heat settings. However, it took me no time at all to figure out how to hold it so that doesn't happen. The heat levels are nice and consistent and the Cool Shot button works great - doesn't 'lock' but I don't care as I just shoot the roots before I finish each section so works fine for me. Regarding the weight, that was the only thing that I was a bit concerned about at first, since my old dryer was super light.  Now, after using it for the second time, I didn't even notice the weight, only the incredibly awesome results it produces! I actually feel like I have new hair as it is no longer dry and frizzy but instead is super smooth, soft and bouncy. I still can't believe changing hair dryers could make such a difference. I actually look forward to doing my hair now! My recommendation is, do your research, but if you have hair similar to mine, give this fantastic dryer a try - I don't think you'll be disappointed!frizzy but instead is super smooth, soft and bouncy. I still can't believe changing hair dryers could make such a difference. I actually look forward to doing my hair now! My recommendation is, do your research, but if you have hair similar to mine, give this fantastic dryer a try - I don't think you'll be disappointed!",502,neu,3.3848767334360557,1.0,0.000518000518000518,0.001977984579630448
412,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,4.0,14.0,17.0,0.0,0.0,Fast and efficient!,"[[VIDEOID:3ce786db72a405f72c6e511ec156f72d]]I have needed a hair dryer forever and finally got this one. I am so happy because the vent on my old one was sucking my hair inside and I would have to break by hair to get it out.<br /><br />This hairdryer is very nice and durably constructed. It feels substantial in my hands, not flimsy and cheap. It comes with 2 diffuser type attachments that connects easily and stay in place until you take them off.<br /><br />The cord on this hairdryer is super long so I can move around quite a bit while drying my hair. There is also a loop built in the handle so this hair dryer can be hung up for storage purposes.<br /><br />The hairdryer itself has a cool shot button which you hold down if you want cool air to blow out. There is another button that changes the forcefulness of the air that is blowing out (this one has 2 settings). The last button is high, medium and low for the warmth of the heat that will blow out of the hair dryer.<br /><br />This hair dryer is 1875 watts so it is pretty powerful and it dries my hair pretty quickly. The infrared light actually is an orange red color and it helps to reduce static and frizz.<br /><br />I am very impressed with this hair dryer and I wish I would have gotten it sooner.<br /><br />I received this product free in exchange for an honest and unbiased review.",2015-07-28,"Fast and efficient! [[VIDEOID:3ce786db72a405f72c6e511ec156f72d]]I have needed a hair dryer forever and finally got this one. I am so happy because the vent on my old one was sucking my hair inside and I would have to break by hair to get it out.<br /><br />This hairdryer is very nice and durably constructed. It feels substantial in my hands, not flimsy and cheap. It comes with 2 diffuser type attachments that connects easily and stay in place until you take them off.<br /><br />The cord on this hairdryer is super long so I can move around quite a bit while drying my hair. There is also a loop built in the handle so this hair dryer can be hung up for storage purposes.<br /><br />The hairdryer itself has a cool shot button which you hold down if you want cool air to blow out. There is another button that changes the forcefulness of the air that is blowing out (this one has 2 settings). The last button is high, medium and low for the warmth of the heat that will blow out of the hair dryer.<br /><br />This hair dryer is 1875 watts so it is pretty powerful and it dries my hair pretty quickly. The infrared light actually is an orange red color and it helps to reduce static and frizz.<br /><br />I am very impressed with this hair dryer and I wish I would have gotten it sooner.<br /><br />I received this product free in exchange for an honest and unbiased review.",253,neu,3.598803418803419,0.8235294117647058,0.0014930603165897284,0.005696952209418382
459,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,4.0,22.0,27.0,0.0,0.0,"An amazing hair dryer perfect for curly or straight hair, definitely a professional blow dryer!","I have never had a blow dryer this amazing before, I don't even know where to begin.  The first thing I noticed was this blow dryer is a little heavier than my current blow dryer....I guess that's what it takes to be such a phenomenal blow dryer! It's not so heavy that you won't want to use it, and it's surprisingly compact.<br /><br />You get two attachments, a concentrator nozzle, which if you've never used one before is amazing for keeping your hair smooth and silky.  You get a finger diffuser as well; which is great for curly hair or waves without the frizz.  I've never been able to blow dry my hair and get curls that I love up until now.  Normally my hair is a big ball of frizz after blowdrying it, but I was able to get frizz free curls with the help of this diffuser.<br /><br />I straighten my hair frequently and for the longest time I had to let my hair dry overnight because blow drying my hair would just cause it to frizz and even using a straightener wouldn't get rid of the frizz.  Now I just use the concentrator nozzle and it really helps keep the frizz at bay when I want to blow dry it straight.  Quite possibly my favorite thing about this blow dryer is the fact that not only does it have a cool shot button, it has a COOL setting, I have A LOT of hair and holding down that cool shot button for my whole hair can be a pain, now I can just switch it to the cool setting. Overall, I love this blow dryer, it's the best one I've ever owned.<br /><br />I received this product for free in exchange for my honest, unbiased review.",2015-07-25,"An amazing hair dryer perfect for curly or straight hair, definitely a professional blow dryer! I have never had a blow dryer this amazing before, I don't even know where to begin.  The first thing I noticed was this blow dryer is a little heavier than my current blow dryer....I guess that's what it takes to be such a phenomenal blow dryer! It's not so heavy that you won't want to use it, and it's surprisingly compact.<br /><br />You get two attachments, a concentrator nozzle, which if you've never used one before is amazing for keeping your hair smooth and silky.  You get a finger diffuser as well; which is great for curly hair or waves without the frizz.  I've never been able to blow dry my hair and get curls that I love up until now.  Normally my hair is a big ball of frizz after blowdrying it, but I was able to get frizz free curls with the help of this diffuser.<br /><br />I straighten my hair frequently and for the longest time I had to let my hair dry overnight because blow drying my hair would just cause it to frizz and even using a straightener wouldn't get rid of the frizz.  Now I just use the concentrator nozzle and it really helps keep the frizz at bay when I want to blow dry it straight.  Quite possibly my favorite thing about this blow dryer is the fact that not only does it have a cool shot button, it has a COOL setting, I have A LOT of hair and holding down that cool shot button for my whole hair can be a pain, now I can just switch it to the cool setting. Overall, I love this blow dryer, it's the best one I've ever owned.<br /><br />I received this product for free in exchange for my honest, unbiased review.",314,neu,3.6153472222222223,0.8148148148148148,0.002321409728817136,0.008971301805185282
479,196041133,hot tools professional 1600 watt super quiet turbo lightweight hair dryer,4.0,0.0,0.0,0.0,0.0,Five Stars,Have had mine for several years and am thinking about getting another one as a back-up.,2015-07-23,Five Stars Have had mine for several years and am thinking about getting another one as a back-up.,18,neu,3.0,0.0,0.0,0.0
484,195677102,conair pro styler ionic conditioning hair dryer,4.0,1.0,1.0,0.0,0.0,Quiet and Effective.,"Much quieter than my old hairdryer. Works great, love the option for &#34;warm&#34;, &#34;hot&#34; or &#34;cool&#34; settings. Wish it collapsed so it fit in my drawer better but otherwise its great for the price .My sister is a hairdresser and she buys cheap hair dryers, says its not worth the money to buy expensive ones.",2015-07-23,"Quiet and Effective. Much quieter than my old hairdryer. Works great, love the option for &#34;warm&#34;, &#34;hot&#34; or &#34;cool&#34; settings. Wish it collapsed so it fit in my drawer better but otherwise its great for the price .My sister is a hairdresser and she buys cheap hair dryers, says its not worth the money to buy expensive ones.",58,neu,3.6083333333333334,1.0,0.0001295001295001295,0.00047950851273219174
493,758099411,conair 1875 watt tourmaline ceramic hair dryer,4.0,1.0,1.0,0.0,0.0,Great for fine thin hair,"My hair dryer took a dump and nothing I hate more than finding another one.  After reading the reviews, I purchased the Conair Pro Styler Ionic Conditioning Hair Dryer.  It was ok but did nothing for my fine thin hair.  I was going to get another Revlon hair dryer but thought ok I will give this one a try even though it has the same wattage as the Conair Pro Styler and with a 35% Amazon Prime Member Sale Discount, what the heck, I really couldn't go too wrong. Love it!  My hair was much smoother and the mild curl I like was put into my hair with ease. Minimal fly aways which the Revlon didn't minimize.  Found my dryer!",2015-07-22,"Great for fine thin hair My hair dryer took a dump and nothing I hate more than finding another one.  After reading the reviews, I purchased the Conair Pro Styler Ionic Conditioning Hair Dryer.  It was ok but did nothing for my fine thin hair.  I was going to get another Revlon hair dryer but thought ok I will give this one a try even though it has the same wattage as the Conair Pro Styler and with a 35% Amazon Prime Member Sale Discount, what the heck, I really couldn't go too wrong. Love it!  My hair was much smoother and the mild curl I like was put into my hair with ease. Minimal fly aways which the Revlon didn't minimize.  Found my dryer!",125,neu,3.3872549019607843,1.0,0.0001295001295001295,0.00046478608321459723
511,276205451,"herstyler pro-fusion dryer – negative ion technology, far infrared heat, ergonomic design – best hair dryer – professional quality",4.0,1.0,1.0,0.0,0.0,Lots of Air+ Good Heat!,"I'm a hairdresser who was recently introduced to this dryer in the past year. When I look for a dryer I want a lot of air, and a lot of heat. This has both. If you know proper blow-dry technique, you can do a full head of long curly hair in 15 minutes. It comes with two nozzles: a large one, and a small one. I have one pet peeve though, the cord needs to be longer. If you all are looking for a strong European quality hairdryer, this is definitely the one.",2015-07-21,"Lots of Air+ Good Heat! I'm a hairdresser who was recently introduced to this dryer in the past year. When I look for a dryer I want a lot of air, and a lot of heat. This has both. If you know proper blow-dry technique, you can do a full head of long curly hair in 15 minutes. It comes with two nozzles: a large one, and a small one. I have one pet peeve though, the cord needs to be longer. If you all are looking for a strong European quality hairdryer, this is definitely the one.",98,neu,3.2404761904761905,1.0,0.0001295001295001295,0.0004493373639095543
